"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Joshua Kelley","LAC","5.2","16.3","0.1","1.0","5.5","0.0","0.1","3.0"
"","high","7.7","20.6","0.1","2.3","8.6","0.0","0.0","3.7"
"","low","2.2","8.3","0.0","0.2","1.2","0.0","0.2","2.4"
"Anthony McFarland Jr.","PIT","3.8","16.2","0.1","0.8","4.4","0.0","0.0","2.9"
"","high","6.9","27.0","0.1","2.0","8.8","0.0","0.0","3.7"
"","low","2.7","11.1","0.0","0.3","2.6","0.0","0.1","2.3"
"Travis Homer","SEA","0.0","9.2","0.1","1.1","8.0","0.0","0.0","2.8"
"","high","0.0","9.2","0.1","1.1","8.0","0.0","0.0","2.8"
"","low","0.0","9.2","0.1","1.1","8.0","0.0","0.0","2.8"
"Kyle Juszczyk","SF","1.0","3.8","0.0","1.3","11.8","0.1","0.0","2.7"
"","high","1.4","5.0","0.1","1.8","14.9","0.1","0.0","3.6"
"","low","0.7","3.0","0.0","0.7","7.6","0.0","0.1","2.2"
"DeeJay Dallas","SEA","4.1","11.5","0.1","1.0","5.6","0.0","0.0","2.6"
"","high","6.3","19.6","0.1","1.7","9.2","0.0","0.0","3.0"
"","low","1.9","5.7","0.0","0.2","1.5","0.0","0.0","1.8"
"Royce Freeman","DEN","5.1","13.1","0.0","1.2","4.8","0.0","0.0","2.6"
"","high","5.1","15.9","0.1","1.7","5.6","0.0","0.0","2.5"
"","low","5.1","10.3","0.0","0.7","4.0","0.0","0.0","2.5"
"Darrel Williams","KC","2.4","9.5","0.1","1.1","6.4","0.0","0.0","2.6"
"","high","5.8","18.8","0.1","2.4","11.1","0.1","0.0","3.2"
"","low","0.8","3.4","0.0","0.2","1.9","0.0","0.1","1.9"
"Devine Ozigbo","JAC","2.9","10.5","0.1","1.2","5.7","0.0","0.0","2.5"
"","high","3.6","11.8","0.1","1.3","7.6","0.0","0.0","2.9"
"","low","2.1","9.2","0.0","1.1","3.8","0.0","0.0","2.9"
"Alexander Mattison","MIN","3.3","12.8","0.1","0.5","3.5","0.0","0.0","2.5"
"","high","3.3","13.0","0.1","0.5","4.2","0.0","0.0","2.6"
"","low","3.3","12.5","0.1","0.4","2.9","0.0","0.0","2.4"
"Jordan Howard","PHI","4.7","14.8","0.1","0.6","1.9","0.0","0.0","2.5"
"","high","7.2","18.1","0.2","1.2","2.9","0.0","0.0","3.1"
"","low","2.9","10.5","0.0","0.2","0.9","0.0","0.1","1.8"
"D'Onta Foreman","TEN","3.1","12.4","0.1","0.8","3.0","0.0","0.0","2.4"
"","high","4.5","14.8","0.1","1.6","4.1","0.1","0.0","3.2"
"","low","1.9","8.1","0.0","0.3","1.8","0.0","0.1","1.5"
"Jonathan Williams","DET","5.2","11.1","0.0","2.7","2.7","0.0","0.1","2.4"
"","high","5.2","11.1","0.0","2.7","2.7","0.0","0.1","0.0"
"","low","5.2","11.1","0.0","2.7","2.7","0.0","0.1","0.0"
"Dare Ogunbowale","JAC","1.4","4.2","0.0","1.2","9.9","0.0","0.0","2.4"
"","high","1.9","6.6","0.1","2.1","16.7","0.1","0.0","3.1"
"","low","1.1","2.3","0.0","0.5","5.4","0.0","0.0","1.7"
