"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","4.4","11.5","0.0","2.5","12.5","0.0","0.0","1.9"
"","low","0.6","2.0","0.0","0.1","1.0","0.0","0.0","1.2"
"Darrynton Evans","TEN","2.7","10.0","0.0","0.5","4.0","0.0","0.0","1.9"
"","high","2.7","10.0","0.0","0.5","4.0","0.0","0.0","2.2"
"","low","2.7","10.0","0.0","0.5","4.0","0.0","0.0","2.2"
"Qadree Ollison","ATL","2.5","7.7","0.1","0.5","2.2","0.0","0.0","1.8"
"","high","4.5","13.3","0.1","1.3","4.1","0.0","0.0","1.8"
"","low","1.3","5.3","0.0","0.1","0.7","0.0","0.0","1.6"
"Ryan Nall","CHI","2.1","5.6","0.0","0.7","3.3","0.0","0.0","1.6"
"","high","4.3","14.9","0.0","1.5","4.8","0.0","0.0","1.5"
"","low","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.8"
"Patrick Ricard","BAL","0.9","2.0","0.0","0.7","3.3","0.1","0.0","1.6"
"","high","2.4","7.4","0.0","0.9","6.0","0.2","0.0","2.4"
"","low","0.1","-0.5","0.0","0.3","2.1","0.0","0.1","1.0"
"Ty Montgomery","NO","1.4","3.9","0.0","0.7","3.7","0.0","0.0","1.5"
"","high","1.4","4.2","0.0","0.7","4.5","0.0","0.0","1.8"
"","low","1.4","3.5","0.0","0.6","2.9","0.0","0.0","1.8"
"C.J. Ham","MIN","0.7","2.1","0.0","0.7","5.6","0.0","0.0","1.5"
"","high","1.1","5.0","0.0","1.0","7.7","0.0","0.0","1.5"
"","low","0.4","1.0","0.0","0.5","3.9","0.0","0.0","1.4"
"Trenton Cannon","CAR","1.7","4.8","0.0","0.6","2.9","0.0","0.0","1.5"
"","high","1.8","6.7","0.0","0.9","3.5","0.0","0.0","1.6"
"","low","1.6","3.1","0.0","0.4","2.0","0.0","0.0","1.6"
"Justice Hill","BAL","1.6","5.1","0.0","0.6","1.8","0.0","0.0","1.4"
"","high","3.2","11.1","0.0","1.4","3.4","0.0","0.0","1.5"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Jakob Johnson","NE","1.7","5.3","0.0","0.6","2.2","0.0","0.0","1.4"
"","high","3.4","10.6","0.0","1.3","4.4","0.0","0.0","0.7"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Dare Ogunbowale","JAC","0.4","1.1","0.0","0.7","4.6","0.0","0.0","1.3"
"","high","0.9","1.8","0.0","1.5","7.6","0.0","0.0","1.7"
"","low","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.8"
"Josh Adams","NYJ","2.0","6.3","0.1","0.3","0.4","0.0","0.0","1.3"
"","high","2.3","7.5","0.1","0.7","0.7","0.0","0.0","1.7"
"","low","1.7","5.1","0.0","0.0","0.2","0.0","0.0","1.7"
"Ameer Abdullah","MIN","1.0","4.6","0.0","0.4","2.3","0.0","0.0","1.2"
"","high","1.6","6.6","0.1","0.8","4.9","0.0","0.0","2.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Alex Armah","CAR","0.8","3.8","0.0","0.5","2.8","0.0","0.0","1.2"
"","high","1.2","10.3","0.0","1.0","7.0","0.0","0.0","1.6"
