"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","low","2.7","31.0","0.0","0.2","1.4","0.0","0.0","4.7"
"Keelan Cole Sr.","JAC","3.2","41.4","0.2","0.0","0.1","0.0","0.1","5.2"
"","high","3.7","55.0","0.3","0.1","0.2","0.0","0.0","5.9"
"","low","2.6","35.6","0.0","0.0","0.0","0.0","0.1","4.7"
"Damiere Byrd","NE","3.5","43.9","0.1","0.1","0.6","0.0","0.0","5.2"
"","high","4.7","51.6","0.2","0.2","0.9","0.0","0.0","6.5"
"","low","3.0","38.3","0.0","0.0","0.0","0.0","0.1","4.4"
"Marquez Valdes-Scantling","GB","2.3","39.7","0.2","0.2","1.2","0.0","0.0","5.2"
"","high","3.1","54.5","0.3","0.3","1.5","0.0","0.0","7.2"
"","low","1.2","21.0","0.0","0.2","0.9","0.0","0.1","3.5"
"Russell Gage","ATL","3.9","39.7","0.2","0.1","0.2","0.0","0.0","5.1"
"","high","5.5","54.2","0.3","0.2","0.5","0.0","0.0","5.2"
"","low","3.3","34.5","0.0","0.0","0.0","0.0","0.1","4.8"
"Golden Tate","NYG","3.5","40.7","0.2","0.1","0.5","0.0","0.0","5.1"
"","high","4.6","52.7","0.3","0.2","0.8","0.0","0.0","6.4"
"","low","2.9","29.9","0.0","0.0","0.0","0.0","0.0","4.3"
"Jakeem Grant","MIA","3.4","39.7","0.1","0.2","1.7","0.0","0.0","5.0"
"","high","4.2","48.4","0.2","0.4","3.9","0.0","0.0","6.2"
"","low","2.8","30.6","0.0","0.0","0.1","0.0","0.1","4.0"
"Jalen Reagor","PHI","3.0","38.4","0.1","0.3","1.7","0.0","0.0","4.7"
"","high","4.8","57.0","0.2","0.5","2.8","0.0","0.0","5.0"
"","low","2.2","27.8","0.0","0.2","1.2","0.0","0.0","3.9"
"David Moore","SEA","2.3","32.4","0.2","0.3","1.9","0.0","0.0","4.6"
"","high","2.8","43.9","0.3","0.7","4.1","0.0","0.0","5.2"
"","low","1.9","26.5","0.1","0.0","0.0","0.0","0.0","3.8"
"Chad Hansen","HOU","2.8","37.8","0.1","0.1","0.6","0.0","0.1","4.5"
"","high","3.9","45.9","0.2","0.2","1.2","0.0","0.0","4.9"
"","low","2.0","28.7","0.0","0.0","0.0","0.0","0.1","3.7"
"Danny Amendola","DET","3.0","36.0","0.1","0.0","0.2","0.0","0.0","4.5"
"","high","3.6","44.9","0.2","0.1","0.7","0.0","0.0","5.7"
"","low","2.0","24.4","0.0","0.0","0.0","0.0","0.0","3.5"
"Mecole Hardman","KC","2.2","34.3","0.2","0.1","0.6","0.0","0.0","4.4"
"","high","2.8","48.1","0.3","0.2","1.2","0.0","0.0","6.5"
"","low","1.7","23.8","0.0","0.0","0.0","0.0","0.1","3.5"
"Willie Snead IV","BAL","2.9","33.3","0.2","0.0","0.1","0.0","0.0","4.4"
"","high","3.4","39.4","0.3","0.0","0.2","0.0","0.0","5.3"
"","low","1.8","20.7","0.0","0.0","0.0","0.0","0.0","5.1"
"A.J. Green","CIN","2.7","35.4","0.1","0.0","0.0","0.0","0.0","4.4"
"","high","3.2","44.0","0.2","0.0","0.2","0.0","0.0","5.0"
"","low","2.2","28.7","0.0","0.0","0.0","0.0","0.0","3.7"
"Keith Kirkwood","CAR","2.5","32.3","0.2","0.0","0.0","0.0","0.0","4.3"
"","high","2.5","32.3","0.2","0.0","0.0","0.0","0.0","4.3"
"","low","2.5","32.3","0.2","0.0","0.0","0.0","0.0","4.3"
"Zach Pascal","IND","2.6","32.9","0.2","0.1","0.5","0.0","0.0","4.2"
"","high","3.1","39.8","0.2","0.1","0.9","0.0","0.0","5.0"
"","low","1.9","25.1","0.0","0.0","0.0","0.0","0.0","3.4"
"Demarcus Robinson","KC","2.6","31.8","0.2","0.0","0.0","0.0","0.0","4.1"
"","high","4.1","49.1","0.2","0.0","0.1","0.0","0.0","4.2"
"","low","2.0","23.6","0.1","0.0","0.0","0.0","0.1","3.4"
"Cam Sims","WAS","2.6","34.2","0.1","0.1","0.5","0.0","0.0","4.1"
"","high","4.2","49.3","0.2","0.2","1.3","0.0","0.0","4.6"
"","low","1.6","20.6","0.0","0.0","0.0","0.0","0.0","2.5"
"Collin Johnson","JAC","2.3","30.6","0.1","0.0","0.2","0.0","0.0","3.9"
"","high","3.3","45.5","0.2","0.1","0.7","0.0","0.0","4.2"
"","low","1.7","24.2","0.0","0.0","0.0","0.0","0.0","3.2"
"Larry Fitzgerald","ARI","3.1","30.2","0.1","0.0","0.2","0.0","0.0","3.9"
"","high","3.7","37.2","0.2","0.0","0.8","0.0","0.0","5.1"
"","low","1.5","16.7","0.0","0.0","0.0","0.0","0.0","2.3"
"Tre'Quan Smith","NO","2.0","27.0","0.2","0.2","0.8","0.0","0.0","3.9"
"","high","3.0","40.6","0.3","0.4","2.4","0.0","0.0","4.2"
"","low","1.5","19.6","0.1","0.1","0.2","0.0","0.0","2.8"
"Jalen Guyton","LAC","1.8","29.4","0.2","0.1","0.0","0.0","0.0","3.9"
"","high","1.9","36.1","0.3","0.1","0.5","0.0","0.0","5.4"
"","low","1.7","24.3","0.0","0.0","-0.3","0.0","0.0","3.2"
"Alshon Jeffery","PHI","2.2","30.5","0.1","0.0","0.1","0.0","0.0","3.8"
"","high","2.9","40.9","0.2","0.0","0.2","0.0","0.0","5.5"
"","low","1.7","22.1","0.0","0.0","0.0","0.0","0.0","2.9"
"Dez Bryant","BAL","2.3","29.4","0.1","0.1","0.4","0.0","0.0","3.8"
