"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","low","2.0","22.5","0.0","0.2","1.0","0.0","0.1","5.1"
"KJ Hamler","DEN","2.4","30.4","0.1","0.4","1.9","0.0","0.0","6.3"
"","high","3.4","45.8","0.2","0.8","3.8","0.0","0.0","7.5"
"","low","1.8","18.0","0.0","0.1","0.7","0.0","0.1","4.2"
"Marvin Hall","DET","2.0","35.3","0.1","0.1","0.6","0.0","0.0","6.3"
"","high","2.8","50.4","0.3","0.2","1.3","0.0","0.0","8.6"
"","low","0.2","4.0","0.0","0.0","0.0","0.0","0.0","2.5"
"Steven Sims","WAS","2.5","29.3","0.1","0.3","2.0","0.0","0.0","6.3"
"","high","3.2","36.6","0.3","0.4","4.0","0.1","0.0","7.6"
"","low","1.5","16.8","0.0","0.1","0.3","0.0","0.1","4.9"
"Jalen Guyton","LAC","2.1","30.3","0.1","0.1","0.4","0.0","0.0","6.0"
"","high","3.0","40.3","0.2","0.2","1.0","0.0","0.0","7.3"
"","low","1.5","22.8","0.0","0.0","-0.1","0.0","0.0","5.0"
"Isaiah Wright","WAS","2.4","27.1","0.1","0.2","1.5","0.0","0.0","5.8"
"","high","3.4","39.0","0.1","0.5","2.7","0.0","0.0","6.6"
"","low","1.5","15.4","0.0","0.1","0.3","0.0","0.0","4.5"
"Andy Isabella","ARI","1.8","28.2","0.2","0.2","0.3","0.0","0.0","5.7"
"","high","3.0","50.0","0.5","0.3","1.0","0.0","0.0","9.7"
"","low","1.0","16.0","0.0","0.0","-0.4","0.0","0.0","3.4"
"Christian Blake","ATL","2.3","28.0","0.1","0.1","0.3","0.0","0.0","5.6"
"","high","3.6","40.5","0.2","0.2","1.0","0.0","0.0","7.7"
"","low","0.7","7.0","0.0","0.0","0.0","0.0","0.0","3.0"
"Chris Hogan","NYJ","2.4","25.8","0.1","0.0","0.0","0.0","0.0","5.6"
"","high","2.9","33.0","0.1","0.0","0.0","0.0","0.0","6.1"
"","low","1.9","18.6","0.1","0.0","0.0","0.0","0.0","4.9"
"Cordarrelle Patterson","CHI","1.6","14.0","0.0","3.7","17.1","0.1","0.0","5.5"
"","high","2.8","25.3","0.1","6.1","28.3","0.2","0.0","7.0"
"","low","1.0","9.0","0.0","1.4","7.6","0.1","0.1","3.6"
"James Washington","PIT","1.9","27.0","0.1","0.0","0.0","0.0","0.0","5.4"
"","high","2.9","42.7","0.3","0.0","0.1","0.0","0.0","7.4"
"","low","0.6","8.4","0.0","0.0","0.0","0.0","0.0","3.0"
"Willie Snead IV","BAL","2.1","26.5","0.1","0.0","0.1","0.0","0.0","5.3"
"","high","3.3","39.1","0.2","0.0","0.2","0.0","0.0","6.3"
"","low","1.0","17.0","0.0","0.0","0.0","0.0","0.0","3.8"
"Chris Conley","JAC","2.0","26.8","0.1","0.0","0.0","0.0","0.0","5.3"
"","high","2.3","31.5","0.2","0.0","0.1","0.0","0.0","6.3"
"","low","1.5","19.9","0.0","0.0","0.0","0.0","0.0","4.7"
"Kenny Stills","HOU","1.7","24.8","0.2","0.0","0.0","0.0","0.0","5.2"
"","high","2.1","28.8","0.3","0.0","0.1","0.0","0.0","6.0"
"","low","1.2","16.3","0.0","0.0","0.0","0.0","0.0","4.0"
"Braxton Berrios","NYJ","2.2","24.6","0.1","0.1","0.8","0.0","0.0","5.1"
"","high","3.3","37.3","0.2","0.1","1.5","0.0","0.0","6.4"
"","low","1.0","11.9","0.0","0.0","0.0","0.0","0.1","3.7"
"Miles Boykin","BAL","1.8","24.5","0.1","0.0","0.0","0.0","0.0","4.9"
"","high","2.6","33.0","0.2","0.0","0.1","0.0","0.0","5.8"
"","low","1.3","17.0","0.0","0.0","0.0","0.0","0.0","4.1"
"Cyril Grayson Jr.","TB","1.7","20.0","0.2","0.0","0.0","0.0","0.0","4.9"
"","high","1.7","20.0","0.2","0.0","0.0","0.0","0.0","4.6"
"","low","1.7","20.0","0.2","0.0","0.0","0.0","0.0","4.6"
"Kalif Raymond","TEN","1.6","25.2","0.1","0.2","0.3","0.0","0.0","4.7"
"","high","2.1","36.2","0.2","0.3","1.0","0.0","0.0","5.3"
"","low","1.0","18.6","0.0","0.1","-0.5","0.0","0.1","3.9"
"Isaiah Ford","NE","2.0","22.3","0.1","0.0","0.3","0.0","0.0","4.6"
"","high","2.2","25.0","0.1","0.1","0.5","0.0","0.0","5.0"
"","low","1.9","19.6","0.0","0.0","0.0","0.0","0.0","5.0"
"Gabriel Davis","BUF","1.6","22.5","0.1","0.1","0.5","0.0","0.0","4.5"
"","high","2.7","36.9","0.2","0.3","1.0","0.0","0.0","5.7"
"","low","1.0","15.0","0.0","0.0","0.0","0.0","0.0","3.1"
"DaeSean Hamilton","DEN","1.9","21.2","0.1","0.0","0.0","0.0","0.0","4.5"
"","high","3.4","34.3","0.2","0.0","0.0","0.0","0.0","6.2"
"","low","0.9","9.0","0.0","0.0","0.0","0.0","0.0","3.0"
"Bryan Edwards","LV","1.7","22.2","0.1","0.1","0.5","0.0","0.0","4.5"
"","high","2.7","31.9","0.1","0.1","0.8","0.0","0.0","5.5"
"","low","0.9","10.0","0.0","0.0","0.0","0.0","0.0","2.7"
"Equanimeous St. Brown","GB","1.6","22.1","0.1","0.0","0.2","0.0","0.0","4.4"
"","high","2.1","27.5","0.2","0.1","0.4","0.0","0.0","5.4"
"","low","1.1","14.4","0.0","0.0","0.0","0.0","0.0","3.7"
"Quintez Cephus","DET","1.8","22.2","0.1","0.1","0.3","0.0","0.0","4.4"
"","high","3.1","37.1","0.2","0.2","1.0","0.0","0.0","5.7"
"","low","0.4","6.2","0.0","0.0","0.0","0.0","0.0","2.5"
"Deonte Harris","NO","1.8","18.2","0.1","0.7","3.2","0.0","0.0","4.3"
"","high","2.9","27.0","0.1","0.7","3.8","0.0","0.0","5.2"
"","low","0.5","6.0","0.0","0.6","2.5","0.0","0.0","3.1"
"Jeff Smith","NYJ","1.8","21.0","0.1","0.1","0.3","0.0","0.0","4.3"
"","high","2.9","27.0","0.1","0.1","0.7","0.0","0.0","5.0"
"","low","0.8","11.6","0.0","0.0","0.0","0.0","0.0","3.3"
"Devin Duvernay","BAL","1.6","19.6","0.1","0.3","2.2","0.0","0.0","4.3"
"","high","2.8","32.7","0.2","1.1","9.6","0.0","0.0","5.4"
"","low","1.0","10.0","0.0","0.0","0.0","0.0","0.1","2.6"
"Dez Bryant","BAL","1.5","22.4","0.1","0.0","0.4","0.0","0.0","4.2"
"","high","2.6","36.5","0.1","0.0","1.1","0.0","0.0","3.9"
"","low","0.9","14.7","0.0","0.0","0.0","0.0","0.0","3.7"
"Gunner Olszewski","NE","1.6","20.2","0.1","0.1","0.5","0.0","0.0","4.2"
"","high","2.3","30.6","0.1","0.2","1.0","0.0","0.0","5.5"
"","low","0.3","5.0","0.0","0.0","0.0","0.0","0.0","2.4"
"Isaiah McKenzie","BUF","1.5","14.9","0.1","0.7","2.9","0.0","0.0","3.9"
"","high","2.1","18.9","0.1","0.8","4.0","0.1","0.0","4.5"
"","low","1.0","10.3","0.0","0.4","1.9","0.0","0.0","3.4"
"Cedrick Wilson","DAL","1.5","19.0","0.1","0.1","0.4","0.0","0.0","3.9"
"","high","1.7","23.1","0.1","0.3","1.3","0.0","0.0","4.5"
"","low","1.2","15.3","0.0","0.0","-1.0","0.0","0.0","3.4"
"Marquez Callaway","NO","1.6","19.5","0.1","0.1","0.3","0.0","0.0","3.8"
"","high","2.7","31.8","0.1","0.1","0.6","0.0","0.0","5.4"
"","low","0.6","8.0","0.0","0.0","0.0","0.0","0.1","2.6"
"Darrius Shepherd","GB","1.5","19.0","0.1","0.0","0.2","0.0","0.0","3.8"
"","high","3.5","43.0","0.2","0.1","0.6","0.0","0.0","6.9"
"","low","0.7","8.8","0.0","0.0","0.0","0.0","0.0","2.8"
"C.J. Board","NYG","1.5","17.5","0.1","0.2","0.8","0.0","0.0","3.7"
"","high","2.0","21.0","0.1","0.3","1.3","0.0","0.0","4.3"
"","low","0.8","10.1","0.0","0.1","0.5","0.0","0.0","2.9"
"Tyron Johnson","LAC","1.2","18.1","0.1","0.2","1.2","0.0","0.0","3.7"
"","high","1.7","32.6","0.2","0.4","2.3","0.0","0.0","5.9"
"","low","0.5","6.6","0.0","0.0","0.0","0.0","0.0","2.5"
"Malcolm Perry","MIA","1.3","13.9","0.0","0.5","6.6","0.0","0.0","3.7"
"","high","1.6","18.6","0.1","0.8","15.4","0.1","0.0","4.1"
"","low","0.8","5.9","0.0","0.1","0.5","0.0","0.0","3.9"
"Chad Beebe","MIN","1.4","17.4","0.1","0.0","0.2","0.0","0.0","3.7"
"","high","2.2","25.8","0.1","0.1","0.7","0.0","0.0","4.3"
"","low","1.0","13.0","0.0","0.0","0.0","0.0","0.0","3.3"
"River Cracraft","SF","1.4","19.1","0.1","0.1","0.5","0.0","0.0","3.7"
"","high","2.2","26.1","0.1","0.1","0.7","0.0","0.0","4.2"
"","low","0.8","10.0","0.0","0.1","0.2","0.0","0.1","2.8"
"Tyler Johnson","TB","1.3","17.2","0.1","0.0","0.1","0.0","0.0","3.5"
"","high","1.7","21.5","0.1","0.1","0.3","0.0","0.0","4.1"
"","low","0.7","11.2","0.0","0.0","0.0","0.0","0.0","3.1"
"Kevin White","SF","1.5","18.6","0.0","0.1","0.5","0.0","0.0","3.5"
"","high","2.8","33.4","0.0","0.1","0.9","0.0","0.0","2.0"
"","low","0.2","3.9","0.0","0.1","0.1","0.0","0.0","2.0"
"Olabisi Johnson","MIN","1.3","16.7","0.0","0.0","0.1","0.0","0.0","3.2"
"","high","1.8","25.2","0.1","0.0","0.2","0.0","0.0","4.4"
"","low","0.5","7.5","0.0","0.0","0.0","0.0","0.0","2.3"
"Byron Pringle","KC","1.3","15.5","0.1","0.0","0.2","0.0","0.0","3.2"
"","high","2.2","26.1","0.1","0.1","0.7","0.0","0.0","4.4"
"","low","0.1","1.0","0.0","0.0","0.0","0.0","0.0","1.4"
