"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","3.5","11.4","0.0","1.3","6.9","0.1","0.0","1.7"
"","low","0.5","2.1","0.0","0.6","3.8","0.0","0.0","1.2"
"Dexter Williams","GB","1.7","7.1","0.1","0.1","1.1","0.0","0.0","1.4"
"","high","1.7","7.1","0.1","0.1","1.1","0.0","0.0","1.4"
"","low","1.7","7.1","0.1","0.1","1.1","0.0","0.0","1.4"
"Lamar Miller","CHI","1.6","6.6","0.1","0.2","1.1","0.0","0.0","1.4"
"","high","1.6","6.6","0.1","0.2","1.1","0.0","0.0","1.4"
"","low","1.6","6.6","0.1","0.2","1.1","0.0","0.0","1.4"
"Ameer Abdullah","MIN","1.7","6.7","0.0","0.6","3.9","0.0","0.0","1.4"
"","high","2.4","9.5","0.1","1.1","4.8","0.1","0.0","1.5"
"","low","1.0","4.2","0.0","0.3","3.2","0.0","0.0","1.3"
"Reggie Gilliam","BUF","0.8","3.2","0.0","0.6","4.4","0.1","0.0","1.4"
"","high","0.8","3.2","0.0","0.6","4.4","0.1","0.0","1.4"
"","low","0.8","3.2","0.0","0.6","4.4","0.1","0.0","1.4"
"Artavis Pierce","CHI","1.6","6.3","0.1","0.3","2.2","0.0","0.0","1.4"
"","high","1.6","6.5","0.1","0.5","3.9","0.0","0.0","1.4"
"","low","1.6","6.1","0.1","0.1","0.6","0.0","0.0","1.3"
"Dare Ogunbowale","JAC","1.0","2.0","0.0","1.2","9.3","0.0","0.0","1.3"
"","high","1.0","2.1","0.0","1.9","14.3","0.0","0.0","1.1"
"","low","1.0","1.9","0.0","0.6","4.9","0.0","0.0","1.0"
"Justice Hill","BAL","3.7","8.3","0.0","1.0","3.7","0.0","0.0","1.3"
"","high","3.7","13.5","0.0","1.5","4.2","0.0","0.0","0.9"
"","low","3.7","3.0","0.0","0.4","3.2","0.0","0.0","0.9"
"AJ Dillon","GB","3.3","10.5","0.0","1.2","3.5","0.0","0.0","1.3"
"","high","3.3","10.5","0.0","1.2","3.5","0.0","0.0","0.0"
"","low","3.3","10.5","0.0","1.2","3.5","0.0","0.0","0.0"
"Trayveon Williams","CIN","2.5","8.5","0.0","0.6","3.5","0.0","0.0","1.3"
"","high","5.2","18.5","0.0","1.7","6.1","0.0","0.0","1.5"
"","low","1.2","5.0","0.0","0.1","0.8","0.0","0.0","0.7"
"Darwin Thompson","KC","3.9","9.5","0.0","1.5","2.5","0.0","0.1","1.3"
"","high","3.9","11.5","0.1","2.5","2.5","0.0","0.0","1.4"
"","low","3.9","7.5","0.0","0.4","2.4","0.0","0.1","1.4"
"Jakob Johnson","NE","3.0","9.4","0.0","1.1","3.9","0.0","0.0","1.3"
"","high","3.0","9.4","0.0","1.1","3.9","0.0","0.0","0.0"
"","low","3.0","9.4","0.0","1.1","3.9","0.0","0.0","0.0"
"Mike Weber","GB","1.3","5.4","0.1","0.1","1.1","0.0","0.0","1.3"
"","high","1.3","5.4","0.1","0.1","1.1","0.0","0.0","1.3"
"","low","1.3","5.4","0.1","0.1","1.1","0.0","0.0","1.3"
"Lynn Bowden Jr.","MIA","2.8","8.0","0.0","0.7","2.6","0.0","0.0","1.2"
"","high","2.8","8.7","0.1","1.1","2.9","0.0","0.0","1.4"
"","low","2.8","7.3","0.0","0.4","2.4","0.0","0.0","1.4"
"Alec Ingold","LV","0.6","2.1","0.0","1.1","8.4","0.0","0.0","1.2"
"","high","1.0","3.9","0.0","1.8","10.4","0.0","0.0","1.2"
"","low","0.3","1.1","0.0","0.7","6.5","0.0","0.0","1.0"
"Buddy Howell","HOU","3.7","7.8","0.0","0.8","3.1","0.0","0.0","1.2"
